params,score,score_std,iteration_time,ndcg,recall,ndcg_std,recall_std
"{'alphas': [0.0730383051020938, 0.351911284580938, 0.19003978428831442], 'alpha_weights': [0.503190277423485, 0.2800471887065617, 0.21676253386995337], 'popularity_weight': 0.08285901293620956, 'num_iterations': 465, 'process_playtime': 'log'}",0.359799048253723,0.005990051852172834,30.115187883377075,0.351579572290057,0.40637607871449727,0.006621050979956127,0.003071565703349737
"{'alphas': [0.6098224968370641, 0.595259604441271, 0.23776898774849653], 'alpha_weights': [0.36912810724049655, 0.07585181392343009, 0.5550200788360735], 'popularity_weight': 0.14970686644050435, 'num_iterations': 575, 'process_playtime': 'log'}",0.3549518142903625,0.005831772023924498,42.42612075805664,0.3468924185813478,0.40062172330811235,0.006534615961582486,0.00357589243677803
"{'alphas': [0.24149879795979023, 0.35844618288599683, 0.24555199366181613], 'alpha_weights': [0.2122693843139395, 0.22848961640188023, 0.5592409992841801], 'popularity_weight': 0.17539872390485642, 'num_iterations': 145, 'process_playtime': 'log'}",0.35908749533394096,0.005704221266108373,32.400733947753906,0.3509150120288842,0.4053982340625963,0.00632747951912434,0.002350590082216086
"{'alphas': [0.6603302221786572, 0.4218112090017194, 0.5886242455777343], 'alpha_weights': [0.27781335178286737, 0.2551212050535424, 0.46706544316359033], 'popularity_weight': 0.062380067964540376, 'num_iterations': 510, 'process_playtime': 'log'}",0.35237962189288635,0.006798648445724613,49.73738193511963,0.3445985622372387,0.39647229327488986,0.007392048332750662,0.004334813204601521
"{'alphas': [0.49257841246573103, 0.23118886802388683, 0.16683460735913513], 'alpha_weights': [0.33149175532688907, 0.15494489307389567, 0.5135633515992154], 'popularity_weight': 0.09177304838311338, 'num_iterations': 206, 'process_playtime': 'log'}",0.35803475659492107,0.005729740254451272,36.96778702735901,0.3499024211633432,0.40411799070719523,0.0065170688338383005,0.0022668265494102144
"{'alphas': [0.2949617869790603, 0.4356288411444226, 0.05891651397681803], 'alpha_weights': [0.4599736980624659, 0.24669713324203738, 0.2933291686954967], 'popularity_weight': 0.18653493858522582, 'num_iterations': 473, 'process_playtime': 'log'}",0.35833665495328226,0.005669043422309171,32.57277703285217,0.35017201953256843,0.4046029223373266,0.006393519818154638,0.002609971045026735
"{'alphas': [0.4814410591942194, 0.13857169815847148, 0.5937000608928192], 'alpha_weights': [0.4469290322986916, 0.21654642225101067, 0.33652454545029764], 'popularity_weight': 0.11648454978689196, 'num_iterations': 376, 'process_playtime': 'log'}",0.3547379224241897,0.005639129239544568,40.97000288963318,0.34669323933326535,0.4003244599394278,0.006433484159949156,0.0028810850654376907
"{'alphas': [0.5873691480901632, 0.6735303123659796, 0.2904076952163909], 'alpha_weights': [0.2676500666267849, 0.44392071838501, 0.28842921498820506], 'popularity_weight': 0.027096504925037262, 'num_iterations': 476, 'process_playtime': 'log'}",0.352119936093658,0.006884732839098996,46.38707900047302,0.34434058518665905,0.396202924566652,0.00747316726107343,0.004394373183750238
"{'alphas': [0.6670340576712385, 0.48906713384090295, 0.1844081529301404], 'alpha_weights': [0.3056444643802752, 0.37306107878466777, 0.3212944568350569], 'popularity_weight': 0.03934613214417705, 'num_iterations': 596, 'process_playtime': 'log'}",0.3539519764740788,0.00568194916324004,43.823513984680176,0.34590933121358874,0.39952696628352197,0.006562648149905018,0.0025867339471972095
"{'alphas': [0.5664883969146794, 0.603095849686647, 0.589457570860194], 'alpha_weights': [0.3498806222400778, 0.6295455929744517, 0.020573784785470554], 'popularity_weight': 0.11805672975804989, 'num_iterations': 380, 'process_playtime': 'log'}",0.352282141030618,0.006791589012539733,49.55479383468628,0.3445048457026238,0.3963534812225851,0.007391681876663233,0.00426344938834114
"{'alphas': [0.03347099618241876, 0.01225760127858114, 0.00368512523249337], 'alpha_weights': [0.1845696856627034, 0.3293183130681826, 0.48611200126911386], 'popularity_weight': 0.06809155940896609, 'num_iterations': 119, 'process_playtime': 'log'}",0.3622143082010026,0.006160772401139234,25.421825170516968,0.3544742342003486,0.4060747275380419,0.006531574998839679,0.0043030747975781
"{'alphas': [0.019072873307340178, 0.6255149892787241, 0.7447175308208533], 'alpha_weights': [0.589153505958882, 0.016343521392382068, 0.39450297264873596], 'popularity_weight': 0.19065248224178077, 'num_iterations': 347, 'process_playtime': 'log'}",0.348370171456114,0.007387906826793842,49.852232217788696,0.3407480326624892,0.39156229128665454,0.007933330589325834,0.005150105645814481
"{'alphas': [0.02409917619053862, 0.014308295953117143, 0.4376146746092231], 'alpha_weights': [0.06485383507864144, 0.8198828427504579, 0.11526332217090071], 'popularity_weight': 0.06664330833723324, 'num_iterations': 596, 'process_playtime': 'log'}",0.3586781581975238,0.0058680497468080435,31.25792384147644,0.3505436989557884,0.4047734272340248,0.0065530321788650255,0.003063703876105407
"{'alphas': [0.0, 0.0, 0.12196101310250351], 'alpha_weights': [0.5, 0.5, 0.0], 'popularity_weight': 0.2, 'num_iterations': 600, 'process_playtime': 'log'}",0.33226077430086753,0.00859867530306539,24.29265570640564,0.3262825307937021,0.36613748750813807,0.008678946022519476,0.008694052942632815
"{'alphas': [0.022625538386329365, 0.3015889812327148, 0.0], 'alpha_weights': [1.0, 0.0, 0.0], 'popularity_weight': 0.0, 'num_iterations': 106, 'process_playtime': 'log'}",0.3642752968139164,0.005634411270048221,27.708006858825684,0.3559125462003912,0.41166421695722527,0.006114494152454255,0.0040633845513162094
