params,score,score_std,iteration_time,ndcg,recall,ndcg_std,recall_std
"{'alpha': 0.0730383051020938, 'popularity_weight': 0.09384300922158346, 'num_iterations': 208, 'process_playtime': 'log'}",0.34978294209356964,0.01240945607111664,35.95986294746399,0.3405666934352032,0.4020083511576464,0.012480279422981622,0.01234345479197309
"{'alpha': 0.40172455173534505, 'popularity_weight': 0.08291824641326649, 'num_iterations': 293, 'process_playtime': 'log'}",0.34448376102635897,0.01262895976969512,33.53912329673767,0.3355369340784781,0.39518244706435074,0.01261722403002539,0.01284795539278626
"{'alpha': 0.37319689776364456, 'popularity_weight': 0.16261933248988378, 'num_iterations': 492, 'process_playtime': 'log'}",0.3450108008855584,0.012945258643528825,33.990991830825806,0.33608367595060246,0.3955978421836428,0.012840971340293007,0.013679224243279473
"{'alpha': 0.4491503097274727, 'popularity_weight': 0.02461213513598411, 'num_iterations': 548, 'process_playtime': 'log'}",0.34353161563643625,0.012928970334479373,35.25934410095215,0.3347208403309099,0.39345934236775165,0.012891938063149274,0.013295806408282696
"{'alpha': 0.7138932067496189, 'popularity_weight': 0.0230294689752741, 'num_iterations': 244, 'process_playtime': 'log'}",0.3353346487598203,0.013292440058326754,44.18960905075073,0.327186205651756,0.38150915970551774,0.012970050677702937,0.015474701902830536
"{'alpha': 0.24555199366181613, 'popularity_weight': 0.04357652331334955, 'num_iterations': 198, 'process_playtime': 'log'}",0.34765783816207935,0.01252399823735319,31.879631996154785,0.3384850415586847,0.3996370189146492,0.012608158452081237,0.012492909498700994
"{'alpha': 0.6577452146432115, 'popularity_weight': 0.02663503963370429, 'num_iterations': 422, 'process_playtime': 'log'}",0.3376610916386337,0.012898868015189462,41.988808155059814,0.3292866633993571,0.38511618499453465,0.01281977975909496,0.013731272098361816
"{'alpha': 0.4218112090017194, 'popularity_weight': 0.15696646548739582, 'num_iterations': 372, 'process_playtime': 'log'}",0.34433679891367347,0.013013367205947021,34.61109399795532,0.33539061960269745,0.39503181500920453,0.012958854234327513,0.01348101646935951
"{'alpha': 0.7139520804978101, 'popularity_weight': 0.062380067964540376, 'num_iterations': 510, 'process_playtime': 'log'}",0.33538618264098313,0.013307015222147917,49.92928504943848,0.3272283043794119,0.38161415945655347,0.012983016781584126,0.015482777525559469
"{'alpha': 0.49257841246573103, 'popularity_weight': 0.06165036480636982, 'num_iterations': 192, 'process_playtime': 'log'}",0.34243933986828695,0.013139608509119386,37.37602496147156,0.333669459860184,0.39213532658087086,0.012907115614640726,0.014626904897396315
"{'alpha': 0.0, 'popularity_weight': 2.1736508747352853e-18, 'num_iterations': 600, 'process_playtime': 'log'}",0.3198870802730467,0.011594187422942962,26.75517702102661,0.3133742371930257,0.35679319105983237,0.011180661810233689,0.01442479313040625
"{'alpha': 0.0, 'popularity_weight': 0.2, 'num_iterations': 75, 'process_playtime': 'log'}",0.3198870802730467,0.011594187422942962,27.11538314819336,0.3133742371930257,0.35679319105983237,0.011180661810233689,0.01442479313040625
"{'alpha': 0.14467131466071467, 'popularity_weight': 0.18951405907575683, 'num_iterations': 433, 'process_playtime': 'log'}",0.3486520280102465,0.012683982564968695,30.98257088661194,0.33949757082096443,0.40052728541617816,0.012841451229508243,0.012244761673938662
"{'alpha': 0.30216148405496523, 'popularity_weight': 0.018645022275102962, 'num_iterations': 220, 'process_playtime': 'log'}",0.34641410279104473,0.01293937361190791,33.024595975875854,0.3374919919780029,0.3969727307316151,0.012932882845533655,0.013287430447890746
"{'alpha': 0.5728638609167666, 'popularity_weight': 0.1919277732203122, 'num_iterations': 363, 'process_playtime': 'log'}",0.34079342053060646,0.013164888175785873,39.01584315299988,0.3322284194697898,0.3893284265419008,0.013034174816147976,0.014239153434200992
"{'alpha': 0.10457400928130092, 'popularity_weight': 0.027159019696098616, 'num_iterations': 214, 'process_playtime': 'log'}",0.348803047036261,0.012402237961366682,30.586138248443604,0.3395609326431346,0.40117502859731075,0.012537208739135662,0.012022895100309652
"{'alpha': 0.194868192230703, 'popularity_weight': 0.16946980777321952, 'num_iterations': 576, 'process_playtime': 'log'}",0.34844278647307747,0.012979574173937436,31.96134114265442,0.3392988595547961,0.40025837234333855,0.01307258600106734,0.012876625297456864
"{'alpha': 0.7499835422825794, 'popularity_weight': 0.0638412023105193, 'num_iterations': 86, 'process_playtime': 'log'}",0.3338869551157851,0.01315343259648423,49.68010401725769,0.3259150448099211,0.37906111351568067,0.012892558535399274,0.014893248241399738
"{'alpha': 0.33643887659284144, 'popularity_weight': 0.013720239986160301, 'num_iterations': 97, 'process_playtime': 'log'}",0.345663616014574,0.012615074220196346,34.83617091178894,0.33674282247406384,0.3962147794107984,0.012571803892072474,0.013015595691281164
"{'alpha': 0.08871474449148274, 'popularity_weight': 0.2, 'num_iterations': 543, 'process_playtime': 'log'}",0.34899613539609414,0.01261027473788087,30.5473370552063,0.3398460782319896,0.4008464593260194,0.012604956498190992,0.013010231990161922
"{'alpha': 0.08880891478501263, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.348993817158253,0.01201499807149784,31.505980968475342,0.339772003142107,0.40125076324974773,0.012241918249676343,0.011093999351656874
"{'alpha': 0.1693866589839435, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.34842767543479275,0.01277287179200944,30.890558004379272,0.33927490729568294,0.40029336155641476,0.012872896891674831,0.012622371839809618
