params,score,score_std,iteration_time,ndcg,recall,ndcg_std,recall_std
"{'alpha1': 0.0730383051020938, 'alpha2': 0.351911284580938, 'stage1_k': 101, 'popularity_weight': 0.1924855493763168, 'num_iterations': 356, 'process_playtime': 'log'}",0.3475128458345085,0.0070832851348117,38.52426195144653,0.3400949042093153,0.3895478483772701,0.0078836529057202,0.0030820341959823
"{'alpha1': 0.3107212985107859, 'alpha2': 0.5570519645684469, 'stage1_k': 150, 'popularity_weight': 0.16261933248988378, 'num_iterations': 492, 'process_playtime': 'log'}",0.3483567089195512,0.0077555833918712,50.188315868377686,0.3408209198093854,0.3910595138771576,0.0081458501873889,0.005811881383863
"{'alpha1': 0.4491503097274727, 'alpha2': 0.09229550675994042, 'stage1_k': 230, 'popularity_weight': 0.14970686644050435, 'num_iterations': 575, 'process_playtime': 'log'}",0.3541505800471413,0.0059352998999481,46.93512511253357,0.3462614671848891,0.3988555529332371,0.0067620539075406,0.0023588177749923
"{'alpha1': 0.24149879795979023, 'alpha2': 0.35844618288599683, 'stage1_k': 115, 'popularity_weight': 0.04357652331334955, 'num_iterations': 198, 'process_playtime': 'log'}",0.3511023977245712,0.0070052592110298,44.6201868057251,0.3433259462485868,0.3951689560884827,0.0077184305552892,0.0040557767832562
"{'alpha1': 0.6577452146432115, 'alpha2': 0.09988139862639109, 'stage1_k': 182, 'popularity_weight': 0.17608805924764193, 'num_iterations': 370, 'process_playtime': 'log'}",0.34977853340083,0.0080332601101412,47.07067680358887,0.3421016584486828,0.3932808247963304,0.008496510020605,0.0058796228511142
"{'alpha1': 0.4246630175677061, 'alpha2': 0.38997600399070576, 'stage1_k': 240, 'popularity_weight': 0.062380067964540376, 'num_iterations': 510, 'process_playtime': 'log'}",0.3497171966428536,0.0082089916234168,45.05487513542175,0.342163838911085,0.3925195571228762,0.008705469322021,0.0057411005345662
"{'alpha1': 0.49257841246573103, 'alpha2': 0.23118886802388683, 'stage1_k': 94, 'popularity_weight': 0.09327591914529465, 'num_iterations': 189, 'process_playtime': 'log'}",0.3516354536046918,0.0069020157561035,44.66360092163086,0.3439048634738904,0.395442131012567,0.0077151570540706,0.0036342974589989
"{'alpha1': 0.34414893143667513, 'alpha2': 0.1872773469931811, 'stage1_k': 86, 'popularity_weight': 0.07865647652774942, 'num_iterations': 380, 'process_playtime': 'log'}",0.3542906444327483,0.0060444840344329,45.148706674575806,0.3463807475761156,0.3991133932870007,0.0068282449829857,0.0017557011236605
"{'alpha1': 0.6857822360362665, 'alpha2': 0.36780475138273216, 'stage1_k': 167, 'popularity_weight': 0.18653493858522582, 'num_iterations': 473, 'process_playtime': 'log'}",0.346563123229121,0.0081506981226268,53.22858905792236,0.3392235340292213,0.3881541286952194,0.0084061750430423,0.006915312854638
"{'alpha1': 0.4814410591942194, 'alpha2': 0.13857169815847148, 'stage1_k': 208, 'popularity_weight': 0.08636980710262845, 'num_iterations': 185, 'process_playtime': 'log'}",0.3528554163762798,0.0064121247963182,41.32710599899292,0.3450541489815478,0.3970625982797612,0.0071667075868898,0.0036736601108915
"{'alpha1': 0.10846922997405195, 'alpha2': 0.06531092281837989, 'stage1_k': 147, 'popularity_weight': 0.06989559604083413, 'num_iterations': 581, 'process_playtime': 'log'}",0.3575304833793323,0.0058694144718666,36.06897211074829,0.3496581417830572,0.4021404190915578,0.0066223386037685,0.0025781349256569
"{'alpha1': 0.75, 'alpha2': 0.0, 'stage1_k': 107, 'popularity_weight': 0.0, 'num_iterations': 600, 'process_playtime': 'log'}",0.3477025170779408,0.007650505583456,50.80749082565307,0.3401670110502508,0.390403717901518,0.00813510583955,0.0054458341243449
"{'alpha1': 0.19180711792585908, 'alpha2': 0.0, 'stage1_k': 62, 'popularity_weight': 0.0, 'num_iterations': 453, 'process_playtime': 'log'}",0.361285538927385,0.005721051185233,44.23184585571289,0.3528351385665944,0.4091711409718651,0.0064320458237913,0.0031848027324356
"{'alpha1': 0.7399899879170709, 'alpha2': 0.7490448462471793, 'stage1_k': 186, 'popularity_weight': 0.036266478901997044, 'num_iterations': 509, 'process_playtime': 'log'}",0.3426218167037185,0.0075233921752785,65.4292459487915,0.3354967761462704,0.382997046529258,0.0080320551618843,0.0048590809023426
"{'alpha1': 0.2244843103295902, 'alpha2': 0.0, 'stage1_k': 139, 'popularity_weight': 0.2, 'num_iterations': 75, 'process_playtime': 'log'}",0.3604322728919009,0.0063607548031078,52.850476026535034,0.3521576435446973,0.4073218391927211,0.0069415781986422,0.0041488955159165
"{'alpha1': 0.0023195402254300454, 'alpha2': 0.00043645793605240357, 'stage1_k': 201, 'popularity_weight': 0.1944995728108776, 'num_iterations': 292, 'process_playtime': 'log'}",0.3420892455248523,0.0083827287385443,31.640666007995605,0.3360649617155071,0.3762268537778094,0.00840059909771,0.0084127141834545
"{'alpha1': 0.1655511002153533, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.2, 'num_iterations': 75, 'process_playtime': 'log'}",0.3611893009846672,0.0062209474876118,39.53469705581665,0.3529141853737074,0.4080816227801072,0.0068001954624634,0.0038395239564056
"{'alpha1': 0.0, 'alpha2': 0.75, 'stage1_k': 238, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.3317565815986387,0.0087244920981403,52.232110023498535,0.3260461579522637,0.3641156489280976,0.0088455199315697,0.0092045001745981
"{'alpha1': 0.6900595887446523, 'alpha2': 0.0, 'stage1_k': 218, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.3494893093265114,0.0074609597980144,47.74853610992432,0.3417978732465522,0.3930741137796134,0.0080617636447638,0.0048881240961252
"{'alpha1': 0.5759554001500935, 'alpha2': 0.7499635376895875, 'stage1_k': 241, 'popularity_weight': 0.023204346429862407, 'num_iterations': 274, 'process_playtime': 'log'}",0.3445107550734858,0.0079376371298805,59.95620512962341,0.3372223631847869,0.3858116424427793,0.0082397123053378,0.0070045632904871
"{'alpha1': 0.1555527297866207, 'alpha2': 0.7490200481804583, 'stage1_k': 238, 'popularity_weight': 0.07226119193909432, 'num_iterations': 584, 'process_playtime': 'log'}",0.3435454754038929,0.0074682733656227,51.33251905441284,0.3363050420066718,0.3845745979881458,0.0079635206778454,0.0052608916557728
"{'alpha1': 0.1732651737649757, 'alpha2': 0.0, 'stage1_k': 50, 'popularity_weight': 0.0, 'num_iterations': 600, 'process_playtime': 'log'}",0.3617530268393521,0.0059391847472773,35.513834953308105,0.3533353241922465,0.4094533418396173,0.006504721748938,0.0041785417356701
"{'alpha1': 0.3101579430452176, 'alpha2': 0.006191731843519012, 'stage1_k': 186, 'popularity_weight': 0.1887879602922655, 'num_iterations': 520, 'process_playtime': 'log'}",0.3590122666936944,0.0058961256244504,40.06274199485779,0.3509379366414082,0.4047668036566498,0.006570007538046,0.003504398167423
"{'alpha1': 0.5499173285747104, 'alpha2': 0.0020229095743943275, 'stage1_k': 77, 'popularity_weight': 0.11701170536644612, 'num_iterations': 507, 'process_playtime': 'log'}",0.3536052304332266,0.0062597080371149,50.0403687953949,0.3456909778406024,0.3984526617914305,0.0069747329899931,0.0029698850969195
"{'alpha1': 0.1771802719841663, 'alpha2': 0.0, 'stage1_k': 50, 'popularity_weight': 0.2, 'num_iterations': 600, 'process_playtime': 'log'}",0.3607909115958933,0.0062443747598024,35.81490087509155,0.3525323333846153,0.407589521459802,0.0067899350596424,0.0038386807498676
