params,score,score_std,iteration_time,ndcg,recall,ndcg_std,recall_std
"{'alpha': 0.0730383051020938, 'popularity_weight': 0.09384300922158346, 'num_iterations': 208, 'interaction_weight_processing': 'log'}",0.35030607793058843,0.0035067027402776994,43.350635051727295,0.3421067443343599,0.3967689683092169,0.0035084670041807837,0.0035935671839920553
"{'alpha': 0.40172455173534505, 'popularity_weight': 0.08291824641326649, 'num_iterations': 293, 'interaction_weight_processing': 'log'}",0.3437926268624518,0.0038628975584281853,52.11656713485718,0.336017399873407,0.38785224646703914,0.003877576181114963,0.003797476804940047
"{'alpha': 0.37319689776364456, 'popularity_weight': 0.16261933248988378, 'num_iterations': 492, 'interaction_weight_processing': 'log'}",0.34461677995752465,0.003921541430788274,51.6613609790802,0.3368076436801235,0.3888685521961315,0.0038861786870261054,0.00426023247978031
"{'alpha': 0.4491503097274727, 'popularity_weight': 0.02461213513598411, 'num_iterations': 548, 'interaction_weight_processing': 'log'}",0.343082421773884,0.00357042340402038,53.61074900627136,0.3353572796160427,0.3868582273349845,0.0035245515758473003,0.004090306779127391
"{'alpha': 0.7138932067496189, 'popularity_weight': 0.0230294689752741, 'num_iterations': 244, 'interaction_weight_processing': 'log'}",0.33462641961692396,0.0037838592836226164,74.51775217056274,0.3274346544313121,0.3753797556687252,0.0036372659060861924,0.004668459941648432
"{'alpha': 0.24555199366181613, 'popularity_weight': 0.04357652331334955, 'num_iterations': 198, 'interaction_weight_processing': 'log'}",0.34731425643524766,0.0037869796749215325,48.34812808036804,0.3392586561927084,0.3929626578096371,0.003817909077597981,0.0036168309655077086
"{'alpha': 0.6577452146432115, 'popularity_weight': 0.02663503963370429, 'num_iterations': 422, 'interaction_weight_processing': 'log'}",0.33642753546449455,0.00363972103789431,143.42652893066406,0.329155602357969,0.37763515640147255,0.00348475506314014,0.0045558627392449595
"{'alpha': 0.4218112090017194, 'popularity_weight': 0.15696646548739582, 'num_iterations': 372, 'interaction_weight_processing': 'log'}",0.34371566907851436,0.003872114900900517,104.36507797241211,0.33596241690735207,0.38765076471510057,0.0038298878152772365,0.004153902623703673
"{'alpha': 0.7139520804978101, 'popularity_weight': 0.062380067964540376, 'num_iterations': 510, 'interaction_weight_processing': 'log'}",0.3346031609962548,0.003788882141005548,179.10200309753418,0.3274133918030339,0.3753451864245066,0.0036412532137249367,0.004680310949076761
"{'alpha': 0.49257841246573103, 'popularity_weight': 0.06165036480636982, 'num_iterations': 192, 'interaction_weight_processing': 'log'}",0.34190569369364726,0.0034490018382940086,130.58590292930603,0.33428057831327446,0.385114680849093,0.0034045609049687168,0.003963263124583591
